map_name,is_fast,split_cost,num_segs,num_subsecs,num_nodes,size_left,size_right
MAP36,false,1,370110,77643,77642,43,27
MAP36,false,2,351102,72991,72990,45,30
MAP36,false,3,336802,69396,69395,46,39
MAP36,false,4,326332,66793,66792,61,41
MAP36,false,5,319729,65118,65117,68,47
MAP36,false,6,314096,63701,63700,68,50
MAP36,false,7,311198,62951,62950,75,52
MAP36,false,8,308169,62153,62152,75,57
MAP36,false,9,306041,61612,61611,75,60
MAP36,false,10,304942,61335,61334,75,60
MAP36,false,11,303805,61043,61042,90,61
MAP36,false,12,302908,60829,60828,93,62
MAP36,false,13,302000,60577,60576,96,62
MAP36,false,14,301686,60500,60499,96,62
MAP36,false,15,301403,60433,60432,99,62
MAP36,false,16,301273,60380,60379,98,68
MAP36,false,17,300815,60251,60250,98,68
MAP36,false,18,300639,60221,60220,98,71
MAP36,false,19,300499,60186,60185,98,71
MAP36,false,20,300086,60087,60086,98,71
MAP36,false,21,300166,60095,60094,98,71
MAP36,false,22,300078,60069,60068,98,80
MAP36,false,23,300138,60080,60079,95,71
MAP36,false,24,300226,60102,60101,98,71
MAP36,false,25,299949,60015,60014,98,81
MAP36,false,26,299849,59985,59984,98,81
MAP36,false,27,299457,59886,59885,98,81
MAP36,false,28,299844,59978,59977,98,81
MAP36,false,29,299635,59923,59922,98,78
MAP36,false,30,299536,59891,59890,98,78
MAP36,false,31,299595,59908,59907,98,87
MAP36,false,32,299449,59877,59876,98,87
MAP36,true,1,451994,98705,98704,46,27
MAP36,true,2,387785,82328,82327,51,31
MAP36,true,3,364681,76437,76436,48,38
MAP36,true,4,351042,72958,72957,52,46
MAP36,true,5,341030,70410,70409,63,51
MAP36,true,6,335195,68924,68923,64,58
MAP36,true,7,331043,67866,67865,65,58
MAP36,true,8,327175,66881,66880,65,64
MAP36,true,9,325486,66446,66445,68,68
MAP36,true,10,323587,65944,65943,68,68
MAP36,true,11,322381,65640,65639,68,68
MAP36,true,12,321912,65518,65517,68,72
MAP36,true,13,321571,65431,65430,69,73
MAP36,true,14,320701,65192,65191,68,73
MAP36,true,15,319817,64981,64980,75,73
MAP36,true,16,319284,64851,64850,75,73
MAP36,true,17,319004,64777,64776,76,74
MAP36,true,18,318888,64749,64748,76,73
MAP36,true,19,318753,64721,64720,76,73
MAP36,true,20,318667,64690,64689,77,73
MAP36,true,21,318303,64596,64595,77,73
MAP36,true,22,318276,64590,64589,77,73
MAP36,true,23,318166,64562,64561,77,73
MAP36,true,24,318161,64559,64558,77,73
MAP36,true,25,317928,64497,64496,77,73
MAP36,true,26,318018,64520,64519,77,73
MAP36,true,27,318002,64512,64511,77,73
MAP36,true,28,317855,64479,64478,77,73
MAP36,true,29,317865,64485,64484,77,73
MAP36,true,30,317979,64513,64512,77,73
MAP36,true,31,318008,64527,64526,77,73
MAP36,true,32,318071,64540,64539,77,73
